date,open,high,low,close,volume
12/29/1986,0.1045,0.1056,0.1003,0.1003,88504
12/30/1986,0.1004,0.102,0.0993,0.1014,53941
12/31/1986,0.1014,0.104,0.1014,0.1024,49580
1/2/1987,0.1024,0.1035,0.1008,0.1014,26848
1/5/1987,0.1014,0.1083,0.1008,0.1072,102980
1/6/1987,0.1071,0.1093,0.1067,0.1088,84962
1/7/1987,0.1088,0.1146,0.1088,0.1146,129452
1/8/1987,0.1152,0.1194,0.1152,0.1184,130570
1/9/1987,0.1183,0.1237,0.1178,0.1231,135202
1/12/1987,0.1232,0.1321,0.1221,0.1311,273451
1/13/1987,0.1301,0.1301,0.1253,0.1274,162079
1/14/1987,0.1274,0.128,0.1248,0.1274,147522
1/15/1987,0.1274,0.1375,0.1274,0.1343,248479
1/16/1987,0.1343,0.1343,0.1285,0.1311,138927
1/19/1987,0.1311,0.1359,0.1285,0.1359,187398
1/20/1987,0.1359,0.1412,0.1354,0.138,203301
1/21/1987,0.138,0.1475,0.1354,0.1438,230312
1/22/1987,0.1438,0.1587,0.1396,0.1582,246381
1/23/1987,0.1582,0.1645,0.1433,0.1433,674806
1/26/1987,0.1443,0.1475,0.1395,0.1459,247364
1/27/1987,0.1459,0.1539,0.1459,0.1518,242220
1/28/1987,0.1518,0.1544,0.1475,0.1523,162877
1/29/1987,0.1523,0.1538,0.1427,0.1459,168149
1/30/1987,0.1459,0.1554,0.1438,0.1552,221094
2/2/1987,0.1552,0.1582,0.155,0.155,99604
2/3/1987,0.155,0.1566,0.1497,0.1523,125949
2/4/1987,0.1523,0.1535,0.1508,0.1529,67398
2/5/1987,0.1528,0.1539,0.1502,0.1518,90542
2/6/1987,0.1518,0.1526,0.1454,0.1462,96855
2/9/1987,0.1459,0.1459,0.1441,0.1449,288883
2/10/1987,0.1449,0.1454,0.1417,0.1454,94834
2/11/1987,0.1459,0.1523,0.1459,0.1523,128027
2/12/1987,0.1523,0.1637,0.1523,0.1629,394200
2/13/1987,0.163,0.1651,0.1577,0.1614,173632
2/17/1987,0.1614,0.163,0.1576,0.1624,150171
2/18/1987,0.1624,0.1651,0.1518,0.1523,272991
2/19/1987,0.1518,0.1518,0.1443,0.1459,674367
2/20/1987,0.146,0.146,0.1423,0.1444,186662
2/23/1987,0.1444,0.1555,0.1412,0.1534,267304
2/24/1987,0.1534,0.1614,0.1534,0.1608,256485
2/25/1987,0.1608,0.1638,0.1571,0.1582,138020
2/26/1987,0.1582,0.1688,0.155,0.164,308310
2/27/1987,0.1639,0.165,0.1603,0.1629,79708
3/2/1987,0.163,0.163,0.1571,0.1582,168840
3/3/1987,0.1582,0.1598,0.1561,0.1582,172204
3/4/1987,0.1582,0.1699,0.1576,0.1693,208430
3/5/1987,0.1693,0.181,0.1693,0.1773,272219
3/6/1987,0.1773,0.1784,0.1725,0.1768,134970
3/9/1987,0.1768,0.1773,0.1725,0.1736,81266
3/10/1987,0.1735,0.1809,0.173,0.1788,157283
3/11/1987,0.1815,0.1825,0.1794,0.1815,93104
3/12/1987,0.1815,0.1836,0.1772,0.1823,151428
3/13/1987,0.1824,0.1837,0.172,0.1757,223218
3/16/1987,0.1752,0.1752,0.1693,0.1746,187805
3/17/1987,0.1746,0.1815,0.174,0.1804,115784
3/18/1987,0.1815,0.1916,0.1815,0.19,253333
3/19/1987,0.19,0.1937,0.1869,0.1937,133352
3/20/1987,0.1937,0.1937,0.1905,0.1916,81189
3/23/1987,0.1916,0.1943,0.1885,0.1903,143275
3/24/1987,0.1857,0.1926,0.1857,0.1916,147766
3/25/1987,0.1916,0.1926,0.1895,0.1908,71833
3/26/1987,0.1908,0.1911,0.1889,0.1895,70871
3/27/1987,0.1905,0.199,0.1905,0.1948,256615
3/30/1987,0.1948,0.2054,0.1879,0.2054,395207
3/31/1987,0.2028,0.2102,0.2028,0.2054,266121
4/1/1987,0.2054,0.2096,0.1921,0.1932,550742
4/2/1987,0.1964,0.2059,0.1964,0.2017,339570
4/3/1987,0.2017,0.2128,0.2017,0.2118,330357
4/6/1987,0.2118,0.2123,0.207,0.2107,210089
4/7/1987,0.2107,0.2107,0.1996,0.1996,156549
4/8/1987,0.1996,0.2075,0.1996,0.2054,225518
4/9/1987,0.2054,0.2054,0.2001,0.2017,151932
4/10/1987,0.2017,0.2033,0.2012,0.203,92084
4/13/1987,0.2028,0.2028,0.1953,0.1964,106699
4/14/1987,0.1964,0.2028,0.1932,0.1996,185535
4/15/1987,0.2012,0.2059,0.2012,0.2038,203739
